Centre,Gender,Labour Category,Labour Type,July-12,August-12,September-12,October-12,November-12,December-12,January-13,February-13,March-13,April-13,May-13,June-13,Annual Average,State,District,Centre_length
BUKKAPATINAM,M,FIELD LABOUR,FIELD LABOUR,275.00,275.00,183.33,212.50,210.00,206.67,200.00,210.00,250.00,225.00,275.00,203.33,227.15,ANDHRA PRADESH,ANANTAPUR,12
BUKKAPATINAM,W,FIELD LABOUR,FIELD LABOUR,200.00,150.00,122.50,146.00,142.50,142.50,123.33,116.67,125.00,150.00,200.00,152.50,147.58,ANDHRA PRADESH,ANANTAPUR,12
BUKKAPATINAM,M,HERDSMEN,HERDSMEN,220.00,220.00,200.00,140.00,160.00,140.00,160.00,170.00,200.00,200.00,200.00,160.00,180.83,ANDHRA PRADESH,ANANTAPUR,12
BUKKAPATINAM,W,HERDSMEN,HERDSMEN,220.00,220.00,200.00,-,140.00,-,140.00,150.00,200.00,200.00,200.00,-,185.56,ANDHRA PRADESH,ANANTAPUR,12
BUKKAPATINAM,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",-,-,-,205.00,-,-,-,-,-,-,-,233.33,219.17,ANDHRA PRADESH,ANANTAPUR,12
BUKKAPATINAM,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",-,-,-,130.00,-,-,-,-,-,-,-,150.00,140.00,ANDHRA PRADESH,ANANTAPUR,12
BUKKAPATINAM,M,"SKILLED 
LABOUR",BLACKSMITH,180.00,165.00,200.00,175.00,165.00,165.00,200.00,200.00,180.00,175.00,200.00,-,182.27,ANDHRA PRADESH,ANANTAPUR,12
BUKKAPATINAM,W,"SKILLED 
LABOUR",BLACKSMITH,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,ANANTAPUR,12
BUKKAPATINAM,M,"SKILLED 
LABOUR",CARPENTER,175.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,-,243.18,ANDHRA PRADESH,ANANTAPUR,12
BUKKAPATINAM,W,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,ANANTAPUR,12
BUKKAPATINAM,M,"SKILLED 
LABOUR",COBBLER,-,-,-,-,135.00,-,-,-,-,-,-,-,135.00,ANDHRA PRADESH,ANANTAPUR,12
BUKKAPATINAM,W,"SKILLED 
LABOUR",COBBLER,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,ANANTAPUR,12
GOLLAPALI,M,FIELD LABOUR,FIELD LABOUR,220.00,220.00,220.00,195.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,204.58,ANDHRA PRADESH,CHITTOR,9
GOLLAPALI,W,FIELD LABOUR,FIELD LABOUR,150.00,150.00,150.00,146.67,150.00,150.00,153.33,150.00,150.00,150.00,150.00,150.00,150.00,ANDHRA PRADESH,CHITTOR,9
GOLLAPALI,M,HERDSMEN,HERDSMEN,-,-,-,120.00,-,-,-,-,-,160.00,-,-,140.00,ANDHRA PRADESH,CHITTOR,9
GOLLAPALI,W,HERDSMEN,HERDSMEN,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,CHITTOR,9
GOLLAPALI,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",300.00,300.00,-,200.00,350.00,300.00,200.00,250.00,350.00,350.00,350.00,350.00,300.00,ANDHRA PRADESH,CHITTOR,9
