Centre,Gender,Labour Category,Labour Type,July-15,August-15,September-15,October-15,November-15,December-15,January-16,February-16,March-16,April-16,May-16,June-16,Annual Average,State,District,Centre_length
BUKKAPATINAM,M,FIELD LABOUR,FIELD LABOUR,216.00,266.00,300.00,316.00,266.00,266.00,266.00,233.00,200.00,200.00,200.00,333.00,255.17,ANDHRA PRADESH,ANANTAPUR,12
BUKKAPATINAM,W,FIELD LABOUR,FIELD LABOUR,150.00,200.00,200.00,200.00,200.00,200.00,200.00,150.00,150.00,150.00,150.00,200.00,179.17,ANDHRA PRADESH,ANANTAPUR,12
BUKKAPATINAM,M,HERDSMEN,HERDSMEN,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,250.00,204.17,ANDHRA PRADESH,ANANTAPUR,12
BUKKAPATINAM,W,HERDSMEN,HERDSMEN,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,ANDHRA PRADESH,ANANTAPUR,12
BUKKAPATINAM,M,"SKILLED 
LABOUR",CARPENTER,300.00,300.00,300.00,320.00,320.00,320.00,320.00,350.00,350.00,350.00,350.00,350.00,327.50,ANDHRA PRADESH,ANANTAPUR,12
BUKKAPATINAM,W,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,ANANTAPUR,12
GOLLAPALI,M,FIELD LABOUR,FIELD LABOUR,250.00,200.00,200.00,200.00,200.00,250.00,300.00,300.00,300.00,300.00,300.00,300.00,258.33,ANDHRA PRADESH,CHITTOR,9
GOLLAPALI,W,FIELD LABOUR,FIELD LABOUR,200.00,150.00,150.00,150.00,150.00,160.00,240.00,240.00,240.00,240.00,240.00,240.00,200.00,ANDHRA PRADESH,CHITTOR,9
GOLLAPALI,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",350.00,275.00,275.00,275.00,275.00,300.00,325.00,325.00,325.00,325.00,325.00,325.00,308.33,ANDHRA PRADESH,CHITTOR,9
GOLLAPALI,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,CHITTOR,9
GOLLAPALI,M,"SKILLED 
LABOUR",BLACKSMITH,300.00,300.00,200.00,200.00,200.00,300.00,200.00,200.00,200.00,200.00,200.00,200.00,225.00,ANDHRA PRADESH,CHITTOR,9
GOLLAPALI,W,"SKILLED 
LABOUR",BLACKSMITH,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,CHITTOR,9
GOLLAPALI,M,"SKILLED 
LABOUR",CARPENTER,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,ANDHRA PRADESH,CHITTOR,9
GOLLAPALI,W,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,CHITTOR,9
GOLLAPALI,M,"SKILLED 
LABOUR",COBBLER,200.00,200.00,200.00,200.00,200.00,250.00,-,-,-,-,-,-,208.33,ANDHRA PRADESH,CHITTOR,9
