Centre,Gender,Labour Category,Labour Type,July-17,August-17,September-17,October-17,November-17,December-17,January-18,February-18,March-18,April-18,May-18,June-18,Annual Average,State,District,Centre_length
BUKKAPATNAM,M,FIELD LABOUR,FIELD LABOUR,333.00,283.00,286.00,314.00,285.00,285.00,257.00,257.00,264.00,264.00,264.00,310.00,283.50,ANDHRA PRADESH,ANANTAPUR,11
BUKKAPATNAM,W,FIELD LABOUR,FIELD LABOUR,275.00,230.00,225.00,228.00,200.00,200.00,186.00,171.00,171.00,171.00,171.00,215.00,203.58,ANDHRA PRADESH,ANANTAPUR,11
BUKKAPATNAM,M,HERDSMEN,HERDSMEN,-,-,-,250.00,-,-,-,-,-,-,-,-,250.00,ANDHRA PRADESH,ANANTAPUR,11
BUKKAPATNAM,W,HERDSMEN,HERDSMEN,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,ANANTAPUR,11
BUKKAPATNAM,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",-,210.00,183.00,257.00,207.00,207.00,208.00,208.00,223.00,223.00,223.00,248.00,217.91,ANDHRA PRADESH,ANANTAPUR,11
BUKKAPATNAM,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",-,220.00,165.00,165.00,165.00,165.00,165.00,165.00,195.00,195.00,195.00,195.00,180.91,ANDHRA PRADESH,ANANTAPUR,11
BUKKAPATNAM,M,"SKILLED 
LABOUR",CARPENTER,350.00,350.00,350.00,-,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,ANDHRA PRADESH,ANANTAPUR,11
BUKKAPATNAM,W,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,ANANTAPUR,11
KANEKAL,M,FIELD LABOUR,FIELD LABOUR,162.00,198.00,195.00,279.00,279.00,285.00,279.00,279.00,279.00,279.00,279.00,290.00,256.92,ANDHRA PRADESH,ANANTAPUR,7
KANEKAL,W,FIELD LABOUR,FIELD LABOUR,135.00,174.00,170.00,225.00,225.00,225.00,217.00,217.00,217.00,217.00,217.00,225.00,205.33,ANDHRA PRADESH,ANANTAPUR,7
KANEKAL,M,HERDSMEN,HERDSMEN,150.00,-,200.00,200.00,200.00,-,-,-,-,-,-,-,187.50,ANDHRA PRADESH,ANANTAPUR,7
KANEKAL,W,HERDSMEN,HERDSMEN,150.00,-,200.00,-,-,-,-,-,-,-,-,-,175.00,ANDHRA PRADESH,ANANTAPUR,7
KANEKAL,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",150.00,150.00,230.00,253.00,253.00,182.00,183.00,183.00,198.00,198.00,198.00,198.00,198.00,ANDHRA PRADESH,ANANTAPUR,7
KANEKAL,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",-,-,-,165.00,165.00,165.00,165.00,165.00,195.00,195.00,195.00,195.00,178.33,ANDHRA PRADESH,ANANTAPUR,7
KANEKAL,M,"SKILLED 
LABOUR",BLACKSMITH,200.00,200.00,200.00,-,-,-,-,-,-,-,-,-,200.00,ANDHRA PRADESH,ANANTAPUR,7
KANEKAL,W,"SKILLED 
LABOUR",BLACKSMITH,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,ANANTAPUR,7
