Centre,Gender,Labour Category,Labour Type,July-11,August-11,September-11,October-11,November-11,December-11,January-12,February-12,March-12,April-12,May-12,June-12,Annual Average,State,District,Centre_length
BASAR,M,FIELD LABOUR,FIELD LABOUR,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,217.00,-,-,-,201.89,ANDHRA PRADESH,ADILABAD,5
BASAR,W,FIELD LABOUR,FIELD LABOUR,190.00,160.00,190.00,180.00,180.00,180.00,180.00,158.00,120.00,-,-,-,170.89,ANDHRA PRADESH,ADILABAD,5
BASAR,M,HERDSMEN,HERDSMEN,150.00,150.00,180.00,200.00,200.00,200.00,200.00,200.00,200.00,-,-,-,186.67,ANDHRA PRADESH,ADILABAD,5
BASAR,W,HERDSMEN,HERDSMEN,-,-,-,180.00,180.00,180.00,180.00,150.00,150.00,-,-,-,170.00,ANDHRA PRADESH,ADILABAD,5
BASAR,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",180.00,180.00,190.00,200.00,200.00,200.00,200.00,200.00,200.00,-,-,-,194.44,ANDHRA PRADESH,ADILABAD,5
BASAR,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",170.00,170.00,170.00,180.00,180.00,180.00,180.00,-,-,-,-,-,175.71,ANDHRA PRADESH,ADILABAD,5
BASAR,M,"SKILLED 
LABOUR",BLACKSMITH,-,-,-,-,-,-,-,250.00,250.00,-,-,-,250.00,ANDHRA PRADESH,ADILABAD,5
BASAR,W,"SKILLED 
LABOUR",BLACKSMITH,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,ADILABAD,5
BASAR,M,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,-,250.00,250.00,-,-,-,250.00,ANDHRA PRADESH,ADILABAD,5
BASAR,W,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,ADILABAD,5
BASAR,M,"SKILLED 
LABOUR",COBBLER,-,-,-,-,-,-,-,220.00,220.00,-,-,-,220.00,ANDHRA PRADESH,ADILABAD,5
BASAR,W,"SKILLED 
LABOUR",COBBLER,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,ADILABAD,5
BUKKAPATINAM,M,FIELD LABOUR,FIELD LABOUR,125.00,130.00,120.00,125.00,130.00,125.00,120.00,185.00,187.00,175.00,175.00,225.00,151.83,ANDHRA PRADESH,ANANTAPUR,12
BUKKAPATINAM,W,FIELD LABOUR,FIELD LABOUR,100.00,125.00,100.00,100.00,110.00,100.00,100.00,112.00,117.00,137.50,125.00,140.00,113.88,ANDHRA PRADESH,ANANTAPUR,12
BUKKAPATINAM,M,HERDSMEN,HERDSMEN,-,-,-,-,-,-,-,220.00,220.00,175.00,220.00,220.00,211.00,ANDHRA PRADESH,ANANTAPUR,12
BUKKAPATINAM,W,HERDSMEN,HERDSMEN,-,-,-,-,-,-,-,220.00,220.00,150.00,220.00,220.00,206.00,ANDHRA PRADESH,ANANTAPUR,12
BUKKAPATINAM,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",125.00,130.00,120.00,130.00,120.00,120.00,130.00,200.00,200.00,250.00,200.00,-,156.82,ANDHRA PRADESH,ANANTAPUR,12
